provider,model,n_runs,mean_run_accuracy,std_run_accuracy,rse_std_dev,min_accuracy,max_accuracy,range_accuracy,t_ci_lower,t_ci_upper,total_pooled_accuracy,pooled_ci_lower,pooled_ci_upper
AMD MI300X,glm_4_6,8,0.9256578947368421,0.011482759128363614,0.2672612419124244,0.9087719298245615,0.9403508771929825,0.03157894736842104,0.9160580678674956,0.9352577216061887,0.9256578947368421,0.9176804673127701,0.9329187559571628
AMD MI300X,deepseek_v3_1,8,0.9219298245614035,0.011637279966159294,0.2672612419124244,0.9035087719298246,0.9350877192982456,0.03157894736842104,0.912200815038832,0.931658834083975,0.9219298245614035,0.9137830921796201,0.9293662666927914
AMD MI300X,qwen3_coder_480b_a35b_instruct,8,0.918859649122807,0.010132568928187237,0.2672612419124244,0.9035087719298246,0.9333333333333333,0.029824561403508754,0.9103886095089874,0.9273306887366267,0.918859649122807,0.9105774107425797,0.9264367656848145
AMD MI300X,qwen3_235b_a22b_instruct_2507_fp8,8,0.8875,0.011878020354489257,0.2672612419124244,0.8719298245614036,0.9052631578947369,0.033333333333333326,0.8775697264761034,0.8974302735238965,0.8875,0.8780006962271214,0.8963469737975933
AMD MI300X,qwen3_235b_a22b_instruct_2507,8,0.8824561403508773,0.015437457237528318,0.2672612419124244,0.8614035087719298,0.9035087719298246,0.04210526315789476,0.8695501031235396,0.8953621775782149,0.8824561403508772,0.8727847518453222,0.8914836898768637
AMD MI300X,glm_4_5,8,0.8813596491228071,0.014250770700205636,0.2672612419124244,0.8649122807017544,0.9070175438596492,0.04210526315789476,0.8694457066680875,0.8932735915775266,0.8813596491228071,0.8716515907633685,0.8904257143713113
AMD MI300X,qwen3_next_80b_a3b_instruct,8,0.8221491228070176,0.007898216999577429,0.2672612419124244,0.8087719298245614,0.8350877192982457,0.026315789473684292,0.8155460481517994,0.8287521974622357,0.8221491228070176,0.8107807035025117,0.8329752259068296
AMD MI300X,glm_4_5_air,5,0.7533333333333333,0.015573572646436603,0.35355339059327373,0.7333333333333333,0.775438596491228,0.04210526315789476,0.733996188854842,0.7726704778118246,0.7533333333333333,0.737173188079494,0.7688114718380582
AMD MI300X,llama_4_maverick_17b_128e_instruct,8,0.7456140350877194,0.009330581688714935,0.2672612419124244,0.7315789473684211,0.7596491228070176,0.028070175438596467,0.7378134735849786,0.7534145965904602,0.7456140350877193,0.732770281328292,0.7580443142731118
AMD MI300X,llama_3_3_70b_instruct_fp8_kv,8,0.7453947368421053,0.016118474332000688,0.2672612419124244,0.7140350877192982,0.7666666666666667,0.052631578947368474,0.7319193550758013,0.7588701186084094,0.7453947368421052,0.7325475851527746,0.7578287831311278
AMD MI300X,llama_3_1_70b_instruct,8,0.7344298245614036,0.01464638366779511,0.2672612419124244,0.7087719298245614,0.756140350877193,0.047368421052631615,0.7221851413889112,0.746674507733896,0.7344298245614035,0.7214180764872026,0.7470469259216374
AMD MI300X,llama_4_maverick_17b_128e_instruct_fp8,8,0.731359649122807,0.016008986505926245,0.2672612419124244,0.7087719298245614,0.756140350877193,0.047368421052631615,0.7179758014697649,0.7447434967758492,0.731359649122807,0.7183036437802341,0.7440261761835882
AMD MI300X,qwen3_30b_a3b_thinkmode,8,0.7274122807017543,0.013970323632609919,0.2672612419124244,0.712280701754386,0.7508771929824561,0.038596491228070184,0.7157327978629544,0.7390917635405543,0.7274122807017543,0.7143005241841615,0.7401412040646383
AMD MI300X,llama_3_3_70b_instruct,8,0.7162280701754387,0.015113633978068933,0.2672612419124244,0.6947368421052632,0.7491228070175439,0.05438596491228065,0.7035927559679194,0.728863384382958,0.7162280701754385,0.7029652392648845,0.7291268957913514
AMD MI300X,qwen2_5_72b_instruct,7,0.7107769423558897,0.0078084019686201515,0.2886751345948129,0.6947368421052632,0.7192982456140351,0.024561403508771895,0.7035553749940532,0.7179985097177263,0.7107769423558897,0.696511111672193,0.7246373032918457
AMD MI300X,qwen3_30b_a3b_instruct_2507,8,0.6964912280701754,0.008012214217115659,0.2672612419124244,0.6859649122807018,0.712280701754386,0.02631578947368418,0.6897928493560876,0.7031896067842631,0.6964912280701754,0.6829857210240552,0.7096659554570678
AMD MI300X,qwen3_14b_thinkmode,8,0.6910087719298246,0.015364297749699584,0.2672612419124244,0.6771929824561403,0.7210526315789474,0.04385964912280704,0.6781638975649275,0.7038536462947217,0.6910087719298246,0.6774410803684952,0.7042549131750966
AMD MI300X,qwen3_32b_thinkmode,8,0.6760964912280701,0.021259168587780226,0.2672612419124244,0.656140350877193,0.7192982456140351,0.06315789473684208,0.6583233815122327,0.6938696009439076,0.6760964912280701,0.6623707350660053,0.6895258008875012
AMD MI300X,qwen2_5_14b_instruct,8,0.6655701754385965,0.011933417563017065,0.2672612419124244,0.6491228070175439,0.6807017543859649,0.03157894736842104,0.6555935886893708,0.6755467621878223,0.6655701754385965,0.6517423472696983,0.6791192774437481
AMD MI300X,llama_4_scout_17b_16e_instruct,8,0.6405701754385965,0.016575731345259432,0.2672612419124244,0.6228070175438597,0.6719298245614035,0.04912280701754379,0.6267125172426462,0.6544278336345468,0.6405701754385965,0.6265302628370211,0.6543734476812824
AMD MI300X,qwen3_32b_fp8,8,0.6370614035087718,0.008617053817714252,0.2672612419124244,0.6210526315789474,0.6473684210526316,0.02631578947368418,0.6298573662343535,0.6442654407831901,0.6370614035087719,0.6229950511024669,0.6508970223358166
